的	de_dí_dì
一	yī_yí_yì
是	shì
在	zài
不	bù_fǒu_bú
了	le_liǎo
有	yǒu_yòu
和	hé_hè_huó_huò_hú_hàn
人	rén
这	zhè_zhèi
中	zhōng_zhòng
大	dà_dài_tài
上	shàng_shǎng
为	wéi_wèi
个	gè_gě_gàn
过	guò_guo_guō
国	guó
我	wǒ
以	yǐ
地	dì_de
他	tā
要	yào_yāo
来	lái
们	mén
时	shí
到	dào
生	shēng
用	yòng
作	zuò
就	jiù
出	chū
于	yú
会	huì_kuài
对	duì
分	fēn_fèn
成	chéng
年	nián
可	kě_kè
同	tóng_tòng
主	zhǔ
也	yě
发	fā_fà
工	gōng
说	shuō_shuì_yuè
子	zǐ_zi
下	xià
能	néng_nài
动	dòng
行	háng_xíng_héng_hàng_xìng
产	chǎn
而	ér
多	duō
后	hòu
方	fāng
面	miàn
种	zhǒng_zhòng_chóng
学	xué
著	zhù_zhuó_zhe_zháo
着	zhe_zhuó_zháo_zhāo
得	dé_děi_de
定	dìng
法	fǎ_fà
民	mín
所	suǒ
经	jīng
十	shí
三	sān
之	zhī
进	jìn
家	jiā_jia_jie
等	děng
部	bù
里	lǐ
都	dōu_dū
自	zì
二	èr
如	rú
理	lǐ
起	qǐ
力	lì
长	cháng_zhǎng
化	huà_huā
现	xiàn
小	xiǎo
度	dù_duó
实	shí
点	diǎn
高	gāo
还	hái_huán_fú
当	dāng_dàng
电	diàn
加	jiā
两	liǎng
从	cóng_zòng
去	qù
物	wù
把	bǎ_bà
本	běn
好	hǎo_hào
水	shuǐ
制	zhì
体	tǐ_tī_bèn
开	kāi_jiān_qiān
业	yè_qiū
重	zhòng_chóng
使	shǐ
天	tiān
然	rán
些	xiē_suò
量	liáng_liàng
前	qián
四	sì
那	nà_nǎ_nèi_nā_nè_nuó
外	wài
事	shì
它	tā
名	míng
合	hé_gě
因	yīn
应	yīng_yìng
由	yóu
其	qí_jī
日	rì
性	xìng
社	shè
义	yì_chā
全	quán
样	yàng_yáng
政	zhèng
表	biǎo
机	jī_jǐ_wèi
关	guān_xiào
新	xīn
平	píng
各	gè_gě
相	xiāng_xiàng
间	jiān_jiàn
心	xīn
正	zhèng_zhēng
与	yǔ_yù_yú
西	xī
形	xíng
反	fǎn
看	kàn_kān
明	míng
又	yòu
么	me_mó_ma_yāo
内	nèi_nà_ruì
你	nǐ
但	dàn
利	lì
道	dào
原	yuán
没	méi_mò_me
第	dì
比	bǐ_bì
命	mìng
数	shù_shǔ_shuò
只	zhī_zhǐ
线	xiàn
向	xiàng
问	wèn
意	yì
站	zhàn
此	cǐ
或	huò
条	tiáo_tiāo
无	wú_mó
公	gōng
质	zhì
结	jié_jiē
解	jiě_jiè_xiè
情	qíng
建	jiàn
月	yuè
想	xiǎng
很	hěn
变	biàn
者	zhě
代	dài
已	yǐ
立	lì
系	xì_jì
军	jūn
最	zuì
并	bìng_bīng
提	tí_dī_dǐ
党	dǎng
题	tí
气	qì_qǐ
五	wǔ
展	zhǎn
象	xiàng
文	wén
通	tōng_tòng
总	zǒng
果	guǒ
次	cì
员	yuán_yún_yùn
革	gé_jí
活	huó
程	chéng
常	cháng
头	tóu_tou
位	wèi
老	lǎo
直	zhí
入	rù
特	tè
品	pǐn
件	jiàn
山	shān
见	jiàn_xiàn
路	lù
求	qiú
管	guǎn
及	jí
级	jí
少	shǎo_shào
基	jī
别	bié_biè
设	shè
式	shì
资	zī
知	zhī_zhì
组	zǔ
几	jī_jǐ
手	shǒu
论	lùn_lún
统	tǒng
接	jiē
农	nóng
被	bèi_pī
边	biān
指	zhǐ
将	jiāng_jiàng
料	liào
九	jiǔ
决	jué
先	xiān
根	gēn
期	qī_jī_qí
计	jì
强	qiáng_qiǎng_jiàng
干	gān_gàn
战	zhàn
回	huí
放	fàng
她	tā_jiě
给	gěi_jǐ
任	rèn_rén
运	yùn_yǔn
做	zuò
必	bì
流	liú
区	qū_ōu
取	qǔ
门	mén
处	chǔ_chù
据	jù_jū
南	nán_nā
则	zé
队	duì
图	tú
北	běi_bèi
百	bǎi
光	guāng
治	zhì
东	dōng
保	bǎo
志	zhì
较	jiào
领	lǐng
海	hǎi
口	kǒu
七	qī
导	dǎo
调	tiáo_diào_zhōu
即	jí
什	shí_shén_shé
造	zào
金	jīn
吃	chī_jí
规	guī
争	zhēng
思	sī_sāi
世	shì
共	gòng_gōng
六	liù_lù
