的	[※※※※※,※rqyy※,※de_dí_dì※,※GB2312※]
一	[※※※※※,※ggll※,※yī_yí_yì※,※GB2312※]
是	[※※※※※,※jghu※,※shì※,※GB2312※]
在	[※※※※※,※dhfd※,※zài※,※GB2312※]
不	[※※※※,※gii※,※bù_fǒu_bú※,※GB2312※]
了	[※※※※,※bnh※,※le_liǎo※,※GB2312※]
有	[※※※※,※def※,※yǒu_yòu※,※GB2312※]
和	[※※※※,※tkg※,※hé_hè_huó_huò_hú_hàn※,※GB2312※]
人	[※※※※※,※wwww※,※rén※,※GB2312※]
这	[※※※※,※ypi※,※zhè_zhèi※,※GB2312※]
中	[※※※※,※khk※,※zhōng_zhòng※,※GB2312※]
大	[※※※※※,※dddd※,※dà_dài_tài※,※GB2312※]
上	[※※※※※,※hhgg※,※shàng_shǎng※,※GB2312※]
为	[※※※※※,※ylyi※,※wéi_wèi※,※GB2312※]
个	[※※※※,※whj※,※gè_gě_gàn※,※GB2312※]
过	[※※※※,※fpi※,※guò_guo_guō※,※GB2312※]
国	[※※※※※,※lgyi※,※guó※,※GB2312※]
我	[※※※※※,※trnt※,※wǒ※,※GB2312※]
以	[※※※※※,※nywy※,※yǐ※,※GB2312※]
地	[※※※※,※fbn※,※dì_de※,※GB2312※]
他	[※※※※,※wbn※,※tā※,※GB2312※]
要	[※※※※,※svf※,※yào_yāo※,※GB2312※]
来	[※※※※,※goi※,※lái※,※GB2312※]
们	[※※※※,※wun※,※mén※,※GB2312※]
时	[※※※※,※jfy※,※shí※,※GB2312※]
到	[※※※※※,※gcfj※,※dào※,※GB2312※]
生	[※※※※,※tgd※,※shēng※,※GB2312※]
用	[※※※※※,※etnh※,※yòng※,※GB2312※]
作	[※※※※※,※wthf※,※zuò※,※GB2312※]
就	[※※※※※,※yidn※,※jiù※,※GB2312※]
出	[※※※※,※bmk※,※chū※,※GB2312※]
于	[※※※※,※gfk※,※yú※,※GB2312※]
会	[※※※※※,※wfcu※,※huì_kuài※,※GB2312※]
对	[※※※※,※cfy※,※duì※,※GB2312※]
分	[※※※※,※wvb※,※fēn_fèn※,※GB2312※]
成	[※※※※※,※dnnt※,※chéng※,※GB2312※]
年	[※※※※※,※rhfk※,※nián※,※GB2312※]
可	[※※※※,※skd※,※kě_kè※,※GB2312※]
同	[※※※※※,※mgkd※,※tóng_tòng※,※GB2312※]
主	[※※※※,※ygd※,※zhǔ※,※GB2312※]
也	[※※※※※,※bnhn※,※yě※,※GB2312※]
发	[※※※※※,※ntcy※,※fā_fà※,※GB2312※]
工	[※※※※※,※aaaa※,※gōng※,※GB2312※]
说	[※※※※※,※yukq※,※shuō_shuì_yuè※,※GB2312※]
子	[※※※※※,※bbbb※,※zǐ_zi※,※GB2312※]
下	[※※※※,※ghi※,※xià※,※GB2312※]
能	[※※※※※,※cexx※,※néng_nài※,※GB2312※]
动	[※※※※※,※fcln※,※dòng※,※GB2312※]
行	[※※※※※,※tfhh※,※háng_xíng_héng_hàng_xìng※,※GB2312※]
产	[※※※※,※ute※,※chǎn※,※GB2312※]
而	[※※※※※,※dmjj※,※ér※,※GB2312※]
多	[※※※※,※qqu※,※duō※,※GB2312※]
后	[※※※※※,※rgkd※,※hòu※,※GB2312※]
方	[※※※※※,※yygn※,※fāng※,※GB2312※]
面	[※※※※※,※dmjd※,※miàn※,※GB2312※]
种	[※※※※※,※tkhh※,※zhǒng_zhòng_chóng※,※GB2312※]
学	[※※※※※,※ipbf※,※xué※,※GB2312※]
